2022-04-06 12:20:32.959239, 179.6.154.126, Peru, Lima, -12.0464, -77.0428
2022-04-06 14:45:26.941201, 179.6.155.157, Peru, Lima, -12.0464, -77.0428
2022-04-06 17:45:30.171967, 187.102.208.52, Peru, Lima, -12.0464, -77.0428
2022-04-06 17:45:41.567135, 187.102.208.52, Peru, Lima, -12.0464, -77.0428
2022-04-06 17:45:47.647452, 187.102.208.52, Peru, Lima, -12.0464, -77.0428
2022-04-06 20:29:19.672576, 181.176.127.234, Peru, Lima, -12.0464, -77.0428
2022-04-06 20:38:39.188090, 181.176.104.155, Peru, Lima, -12.0464, -77.0428
2022-04-06 23:01:17.813666, 181.176.97.83, Peru, Lima, -12.0464, -77.0428
2022-04-06 23:20:35.828390, 132.251.0.200, Peru, Lima, -12.0464, -77.0428
2022-04-06 23:33:40.236482, 179.6.91.91, Peru, Lima, -12.0464, -77.0428
2022-04-06 23:45:24.601682, 190.238.200.21, Peru, Lima, -12.0464, -77.0428
2022-04-07 00:08:31.115134, 179.6.155.60, Peru, Lima, -12.0464, -77.0428
2022-04-07 00:36:00.539577, 132.184.128.132, Peru, Lima, -12.0464, -77.0428
2022-04-07 14:28:55.936989, 179.6.90.181, Peru, Lima, -12.0464, -77.0428
2022-04-18 06:24:06.471651, 179.6.194.222, Peru, Lima, -12.0464, -77.0428
2022-04-24 03:03:14.126988, 190.239.193.119, Peru, Piura, -5.1991, -80.6309
2022-11-28 19:50:36.131831, 190.232.113.105, Peru, Piura, -5.1991, -80.6309
2023-06-23 04:13:34.604173, 190.232.113.151, Peru, Piura, -5.1996, -80.6248
2023-06-23 15:42:19.737501, 38.25.5.153, Peru, Piura, -5.1996, -80.6248
2023-06-24 02:04:46.306216, 170.254.235.206, Peru, Lima, -12.0432, -77.0282
2023-07-24 01:08:32.433212, 132.251.0.183, Peru, Lima, -12.0432, -77.0282
2023-09-01 20:44:36.223187, 179.6.1.158, Peru, Lima, -12.0432, -77.0282
2023-09-01 20:44:38.941424, 179.6.1.158, Peru, Lima, -12.0432, -77.0282
2023-09-04 22:59:29.188295, 179.6.1.158, Peru, Lima, -12.0432, -77.0282
2023-09-06 21:17:31.037280, 179.6.1.158, Peru, Lima, -12.0432, -77.0282
2023-09-17 15:10:59.224587, 181.65.19.155, Peru, Lima, -12.0432, -77.0282
2023-09-17 15:11:02.153059, 181.65.19.155, Peru, Lima, -12.0432, -77.0282
2023-09-27 00:47:37.043410, 132.251.2.58, Peru, Lima, -12.0432, -77.0282
2023-09-27 00:50:00.889460, 132.251.2.58, Peru, Lima, -12.0432, -77.0282
2023-10-16 03:11:29.288157, 179.6.152.72, Peru, Lima, -12.0432, -77.0282
2023-10-23 21:13:36.781576, 45.230.198.36, Peru, Lima, -12.0432, -77.0282
2023-10-23 21:13:41.180832, 45.230.198.36, Peru, Lima, -12.0432, -77.0282
2023-10-24 17:11:26.407632, 38.43.130.67, Peru, Lima, -12.0432, -77.0282
2023-10-24 17:20:04.011081, 190.237.55.34, Peru, Lima, -12.0432, -77.0282
2023-10-24 23:05:28.582239, 190.237.31.178, Peru, Lima, -12.0432, -77.0282
2023-10-24 23:05:44.162490, 190.237.31.178, Peru, Lima, -12.0432, -77.0282
2023-10-24 23:06:30.612158, 190.237.31.178, Peru, Lima, -12.0432, -77.0282
2023-10-25 00:43:51.845642, 190.237.162.72, Peru, Lima, -12.0432, -77.0282
2023-10-25 01:04:06.815917, 200.121.186.214, Peru, Lima, -12.0432, -77.0282
2023-10-25 08:34:13.549630, 201.230.217.46, Peru, Lima, -12.0432, -77.0282
2023-10-25 21:55:23.860137, 38.25.18.61, Peru, Lima, -12.0432, -77.0282
2023-10-25 22:54:32.761773, 45.230.198.36, Peru, Lima, -12.0432, -77.0282
2023-10-25 23:39:19.507338, 179.6.0.211, Peru, Lima, -12.0432, -77.0282
2023-10-25 23:55:31.653874, 201.230.217.46, Peru, Lima, -12.0432, -77.0282
2023-10-26 01:04:11.708782, 190.236.5.179, Peru, Lima, -12.0432, -77.0282
2023-10-26 02:06:47.873691, 179.6.74.228, Peru, Lima, -12.0432, -77.0282
2023-10-26 05:10:38.006147, 190.237.13.155, Peru, Lima, -12.0432, -77.0282
2023-10-26 05:29:12.452679, 132.184.131.103, Peru, La Libertad, -8.08791, -79.0975
2023-10-26 05:56:00.203733, 181.65.18.249, Peru, Lima, -12.0432, -77.0282
2023-10-27 09:51:10.564390, 190.239.66.44, Peru, Lima, -12.0432, -77.0282
2023-10-27 11:30:33.200615, 190.239.178.182, Peru, Lima, -12.0432, -77.0282
2023-11-04 23:08:24.352389, 179.6.136.189, Peru, Lima, -12.0432, -77.0282
2023-11-04 23:08:27.306410, 179.6.136.189, Peru, Lima, -12.0432, -77.0282
2023-11-04 23:08:30.076831, 179.6.154.189, Peru, Lima, -12.0432, -77.0282
2023-11-04 23:40:29.188758, 190.236.1.7, Peru, Lima, -12.0432, -77.0282
2023-11-06 01:58:59.927520, 179.6.1.158, Peru, Lima, -12.0432, -77.0282
2023-11-08 20:57:00.359830, 179.6.1.158, Peru, Lima, -12.0432, -77.0282
2023-11-09 22:35:59.732053, 45.230.198.36, Peru, Lima, -12.0432, -77.0282
2023-11-11 22:30:38.132312, 179.6.1.158, Peru, Lima, -12.0432, -77.0282
2023-11-13 21:37:42.316068, 179.6.1.158, Peru, Lima, -12.0432, -77.0282
2023-11-13 22:24:05.601770, 179.6.1.158, Peru, Lima, -12.0432, -77.0282
2023-11-14 21:53:18.258472, 45.230.198.36, Peru, Lima, -12.0432, -77.0282
2023-11-15 13:37:16.846104, 45.230.198.36, Peru, Lima, -12.0432, -77.0282
2023-11-16 01:41:21.512461, 179.6.1.158, Peru, Lima, -12.0432, -77.0282
2023-11-20 01:13:53.572765, 38.25.27.161, Peru, Lima, -12.0432, -77.0282
2023-11-20 22:34:34.636111, 45.230.198.36, Peru, Lima, -12.0432, -77.0282
2023-11-29 23:56:55.601011, 45.230.198.36, Peru, Lima, -12.0432, -77.0282
2023-11-30 22:25:43.579242, 45.230.198.36, Peru, Lima, -12.0432, -77.0282

2023-12-09 13:59:09.383658, 179.6.1.158, Peru, Lima, -12.0432, -77.0282
2023-12-12 18:38:35.407034, 181.176.126.228, Peru, Lima, -12.0432, -77.0282
2023-12-18 13:42:36.976185, 200.1.177.166, Peru, Lima, -12.0432, -77.0282
2023-12-28 23:34:43.481851, 179.6.1.158, Peru, Lima, -12.0432, -77.0282
2023-12-28 23:34:45.635104, 179.6.1.158, Peru, Lima, -12.0432, -77.0282
2024-01-14 19:30:46.910412, 179.7.92.24, Peru, Lima, -12.0432, -77.0282
2024-01-17 01:16:03.743754, 190.236.10.137, Peru, Lima Province, -12.0432, -77.0282
2024-01-17 01:21:23.734999, 179.6.139.171, Peru, Lima Province, -12.0432, -77.0282
2024-01-25 21:50:42.058369, 45.230.198.36, Peru, Lima Province, -12.0432, -77.0282
2024-02-02 13:57:21.965741, 179.6.1.158, Peru, Lima Province, -12.0432, -77.0282
2024-02-13 16:17:44.887203, 190.232.218.145, Peru, Lima Province, -12.0432, -77.0282
2024-02-22 19:50:43.384932, 132.191.3.46, Peru, Lima Province, -12.0432, -77.0282
2024-03-08 21:54:08.078805, 45.230.198.36, Peru, Lima Province, -12.0432, -77.0282
2024-03-20 02:24:54.914736, 132.251.3.31, Peru, Lima Province, -12.0432, -77.0282
2024-03-20 04:30:59.352186, 179.6.0.129, Peru, Lima Province, -12.0432, -77.0282
2024-03-20 13:57:11.797466, 179.6.160.181, Peru, Lima Province, -12.0432, -77.0282
2024-04-02 23:18:47.881914, 179.6.5.116, Peru, Lima Province, -12.0432, -77.0282
2024-04-17 13:19:09.813760, 179.6.1.94, Peru, Lima Province, -12.0432, -77.0282
2024-04-22 21:56:57.137029, 201.218.159.220, Peru, Amazonas, -12.1312, -77.0296
2024-05-01 17:28:09.655025, 132.251.2.99, Peru, Lima Province, -12.0432, -77.0282
2024-06-18 04:32:12.539170, 179.6.28.88, Peru, Lima Province, -12.0432, -77.0282
2024-06-18 04:32:15.355985, 179.6.28.88, Peru, Lima Province, -12.0432, -77.0282
2024-06-24 17:06:58.121954, 190.238.146.142, Peru, Lima region, -12.489, -75.9186
2024-06-25 01:49:13.527431, 38.253.145.109, Peru, Lima Province, -12.0432, -77.0282
2024-06-25 01:49:16.008245, 38.253.145.109, Peru, Lima Province, -12.0432, -77.0282
2024-07-13 15:14:46.659360, 38.187.6.211, Peru, Lima region, -11.85, -76.45
2024-07-17 09:06:34.149003, 200.215.228.7, Peru, Lima Province, -12.0432, -77.0282
2024-08-14 04:56:27.345289, 190.233.209.130, Peru, Lima Province, -12.0432, -77.0282
2024-08-14 04:57:00.227111, 190.233.209.130, Peru, Lima Province, -12.0432, -77.0282
2024-08-26 13:07:25.364283, 190.235.38.247, Peru, Lima Province, -12.0432, -77.0282
2024-08-26 13:07:28.206448, 190.235.38.247, Peru, Lima Province, -12.0432, -77.0282
2024-08-28 03:56:58.749451, 179.6.1.94, Peru, Lima Province, -12.0432, -77.0282
2024-09-03 02:26:13.380280, 190.239.70.155, Peru, Lima Province, -12.0432, -77.0282
2024-10-24 11:36:21.207528, 72.14.201.249, Peru, Lima Province, -12.0464, -77.0428
